,title,url,date,tag,scraped,collections,text,subheadings,image_urls
80,Dit zijn de koplopers op het gebied van klimaatbestendige architectuur,https://www.volkskrant.nl/cultuur-media/dit-zijn-de-koplopers-op-het-gebied-van-klimaatbestendige-architectuur~b3c023c5/,2022-09-01,Cultuur & Media,False,,,,
81,Een hittegolf? Dan stroomt ook de spoedeisende hulp sneller vol,https://www.volkskrant.nl/nieuws-achtergrond/een-hittegolf-dan-stroomt-ook-de-spoedeisende-hulp-sneller-vol~bb382032/,2022-08-12,Voorpagina,False,,,,
82,4.500 waterscouts komen bijeen in de Flevopolder: ‘Op scouting schaamt niemand zich. Het boeit allemaal niet’,https://www.volkskrant.nl/nieuws-achtergrond/4-500-waterscouts-komen-bijeen-in-de-flevopolder-op-scouting-schaamt-niemand-zich-het-boeit-allemaal-niet~b1b15006/,2022-08-11,Nieuws & Achtergrond,False,,,,
83,"Frankrijk is preuts, kleinburgerlijk, bijna Amerikaans aan het worden",https://www.volkskrant.nl/cultuur-media/frankrijk-is-preuts-kleinburgerlijk-bijna-amerikaans-aan-het-worden~b88e9dcd/,2022-08-11,Cultuur & Media,False,,,,
84,"Komende dagen grote kans op hittegolf, RIVM stelt voor tweede keer dit jaar Nationaal Hitteplan in",https://www.volkskrant.nl/nieuws-achtergrond/komende-dagen-grote-kans-op-hittegolf-rivm-stelt-voor-tweede-keer-dit-jaar-nationaal-hitteplan-in~b1833a51/,2022-08-10,Nieuws & Achtergrond,False,,,,
85,Het weerbericht voor woensdag 10 augustus: Zonnig en heet,https://www.volkskrant.nl/nieuws-achtergrond/het-weerbericht-voor-woensdag-10-augustus-zonnig-en-heet~b26e55cb/,2022-08-09,Nieuws & Achtergrond,False,,,,
86,"Weinig water door Nederlandse rivieren, grote kans op hittegolf deze week",https://www.volkskrant.nl/nieuws-achtergrond/weinig-water-door-nederlandse-rivieren-grote-kans-op-hittegolf-deze-week~bad84f8c/,2022-08-08,Nieuws & Achtergrond,False,,,,
87,Hoe uitzonderlijk is deze zomerhitte? En nemen weersextremen toe?,https://www.volkskrant.nl/nieuws-achtergrond/hoe-uitzonderlijk-is-deze-zomerhitte-en-nemen-weersextremen-toe~bd5ecd0d/,2022-07-18,Voorpagina,False,,,,
88,Mogelijk recordaantal bosbranden in EU dit jaar door tweede Zuid-Europese hittegolf,https://www.volkskrant.nl/nieuws-achtergrond/mogelijk-recordaantal-bosbranden-in-eu-dit-jaar-door-tweede-zuid-europese-hittegolf~b954ac32/,2022-07-15,Nieuws & Achtergrond,False,,,,
89,Ramp met afgebroken gletsjer wakkert discussie over klimaatverandering aan in geschokt Italië,https://www.volkskrant.nl/nieuws-achtergrond/ramp-met-afgebroken-gletsjer-wakkert-discussie-over-klimaatverandering-aan-in-geschokt-italie~b49f19b2/,2022-07-05,Nieuws & Achtergrond,False,,,,
90,"Bosbranden, verboden festivals en geen concerten zonder airco: Europa zwoegt zich door hittegolf",https://www.volkskrant.nl/nieuws-achtergrond/bosbranden-verboden-festivals-en-geen-concerten-zonder-airco-europa-zwoegt-zich-door-hittegolf~b9382c15/,2022-06-18,Nieuws & Achtergrond,False,,,,
91,Gierzwaluwen vallen van het dak in Spanje tijdens ‘heftigste hittegolf in twintig jaar’,https://www.volkskrant.nl/nieuws-achtergrond/gierzwaluwen-vallen-van-het-dak-in-spanje-tijdens-heftigste-hittegolf-in-twintig-jaar~b0089923/,2022-06-17,Voorpagina,False,,,,
92,Het weer blijkt steeds nóg extremer dan wetenschappers dachten. Hoe kan dat?,https://www.volkskrant.nl/wetenschap/het-weer-blijkt-steeds-nog-extremer-dan-wetenschappers-dachten-hoe-kan-dat~beac1c86/,2022-06-17,Wetenschap,False,,,,
93,De Volkskrant tv-selectie voor zaterdag 4 juni,https://www.volkskrant.nl/cultuur-media/de-volkskrant-tv-selectie-voor-zaterdag-4-juni~bc2dbaa3/,2022-06-03,Cultuur & Media,False,,,,
94,De waterkwaliteit in Nederland staat onder aan de Europese ranglijst – is het echt zó erg?,https://www.volkskrant.nl/wetenschap/de-waterkwaliteit-in-nederland-staat-onder-aan-de-europese-ranglijst-is-het-echt-zo-erg~be75ea1b/,2022-06-03,Wetenschap,False,,,,
95,"‘Voedselmiljardairs’ zien vermogen bijna verdubbelen door hoge prijzen en hongersnood, berekent Oxfam",https://www.volkskrant.nl/nieuws-achtergrond/voedselmiljardairs-zien-vermogen-bijna-verdubbelen-door-hoge-prijzen-en-hongersnood-berekent-oxfam~b49de50f/,2022-05-22,Nieuws & Achtergrond,False,,,,
96,De Volkskrant tv-selectie voor zaterdag 30 april,https://www.volkskrant.nl/cultuur-media/de-volkskrant-tv-selectie-voor-zaterdag-30-april~b94e2903/,2022-04-29,Cultuur & Media,False,,,,
97,Aanpassen aan de klimaatopwarming: het gebeurt in veel landen (en in Leiden). Kan het meer zijn dan ‘een manier om tijd kopen’?,https://www.volkskrant.nl/wetenschap/aanpassen-aan-de-klimaatopwarming-het-gebeurt-in-veel-landen-en-in-leiden-kan-het-meer-zijn-dan-een-manier-om-tijd-kopen~bbb2b24b/,2022-04-01,Wetenschap,False,,,,
98,"‘Zelfs 1,5 graad opwarming is eigenlijk al te veel’",https://www.volkskrant.nl/nieuws-achtergrond/zelfs-1-5-graad-opwarming-is-eigenlijk-al-te-veel~b3d37db3/,2022-02-28,Nieuws & Achtergrond,False,,,,
99,Met deze feitjes is een praatje over het weer helemaal niet afgezaagd,https://www.volkskrant.nl/beter-leven/met-deze-feitjes-is-een-praatje-over-het-weer-helemaal-niet-afgezaagd~b1c35d91/,2022-01-31,Beter Leven,False,,,,
100,Alarmerend rapport EU-klimaatdienst: uitstoot broeikasgas methaan versnelt,https://www.volkskrant.nl/nieuws-achtergrond/alarmerend-rapport-eu-klimaatdienst-uitstoot-broeikasgas-methaan-versnelt~b3e9601a/,2022-01-10,Nieuws & Achtergrond,False,,,,
101,"Ecologische rampen, legaal moorden: dit voorspelden sciencefictionfilms voor 2022",https://www.volkskrant.nl/cultuur-media/ecologische-rampen-legaal-moorden-dit-voorspelden-sciencefictionfilms-voor-2022~ba9e42f6/,2021-12-22,Cultuur & Media,False,,,,
102,"Hittegolven, muggen en overstromingen: hoe het veranderende klimaat de gezondheid schaadt",https://www.volkskrant.nl/wetenschap/hittegolven-muggen-en-overstromingen-hoe-het-veranderende-klimaat-de-gezondheid-schaadt~b688c3b8/,2021-11-05,Wetenschap,False,,,,
103,Hij onderzoekt extreem weer: ‘Zo’n overstroming laat zien dat de kosten van niks doen ook gigantisch zijn’,https://www.volkskrant.nl/wetenschap/hij-onderzoekt-extreem-weer-zo-n-overstroming-laat-zien-dat-de-kosten-van-niks-doen-ook-gigantisch-zijn~bd09ba89/,2021-10-06,Wetenschap,False,,,,
104,Zelfs aan het infuus verzet klimaatonderzoeker Van Oldenborgh nog bergen werk,https://www.volkskrant.nl/wetenschap/zelfs-aan-het-infuus-verzet-klimaatonderzoeker-van-oldenborgh-nog-bergen-werk~b24900e0/,2021-09-20,Wetenschap,False,,,,
105,‘Overstroming komt het hardst aan bij mensen die het financieel het zwaarst hebben. Veel doden zaten vast in kelders’,https://www.volkskrant.nl/nieuws-achtergrond/overstroming-komt-het-hardst-aan-bij-mensen-die-het-financieel-het-zwaarst-hebben-veel-doden-zaten-vast-in-kelders~b86f8615/,2021-09-02,Nieuws & Achtergrond,False,,,,
